target,slug,county_name
Alview-Dairyland Union Elementary,alview-dairyland-union-elementary,Los Angeles
Alvina Elementary,alvina-elementary,Merced
Alvord Unified,alvord-unified,San Bernardino
Amador County Unified,amador-county-unified,Marin
Ambassador Phillip V. Sanchez Public Charter,ambassador-phillip-v-sanchez-public-charter,Kern
America's Finest Charter,americas-finest-charter,Los Angeles
American Indian Public Charter,american-indian-public-charter,Riverside
American Indian Public Charter School II,american-indian-public-charter-school-ii,Merced
American Indian Public High,american-indian-public-high,San Diego
American River Charter,american-river-charter,Lassen
Anaheim Elementary,anaheim-elementary,Los Angeles
Anaheim Union High,anaheim-union-high,Kern
Anahuacalmecac International University Preparatory High,anahuacalmecac-international-university-preparatory-high,Los Angeles
Anderson New Technology High,anderson-new-technology-high,Alameda
Anderson Union High,anderson-union-high,San Bernardino
Anderson Valley Unified,anderson-valley-unified,Los Angeles
Animo Avalon Charter Middle,animo-avalon-charter-middle,Siskiyou
Animo Charter Middle No. 1,animo-charter-middle-no-1,Humboldt
Animo Charter Middle No. 2,animo-charter-middle-no-2,Sacramento
Animo Charter Middle No. 3,animo-charter-middle-no-3,Santa Clara
Animo Charter Middle No. 4,animo-charter-middle-no-4,Santa Barbara
Animo College Preparatory Academy,animo-college-preparatory-academy,Solano
Animo Inglewood Charter High,animo-inglewood-charter-high,Santa Clara
Animo Jackie Robinson High,animo-jackie-robinson-high,Nevada
Animo Jefferson Charter Middle,animo-jefferson-charter-middle,Los Angeles
Animo Leadership High,animo-leadership-high,San Francisco
Animo Pat Brown,animo-pat-brown,Alameda
Animo Ralph Bunche High,animo-ralph-bunche-high,Sonoma
Animo South Los Angeles Charter,animo-south-los-angeles-charter,Los Angeles
Animo Venice Charter High,animo-venice-charter-high,Alameda
Animo Watts College Preparatory Academy,animo-watts-college-preparatory-academy,Tulare
Animo Westside Charter Middle,animo-westside-charter-middle,Kern
Antelope Elementary,antelope-elementary,Los Angeles
Antelope Valley Learning Academy,antelope-valley-learning-academy,Los Angeles
Antelope Valley Union High,antelope-valley-union-high,Los Angeles
Antelope View Charter,antelope-view-charter,Glenn
Antioch Charter Academy,antioch-charter-academy,Lassen
Antioch Charter Academy II,antioch-charter-academy-ii,El Dorado
Antioch Unified,antioch-unified,Los Angeles
APEX Academy,apex-academy,Los Angeles
Apple Academy Charter Public,apple-academy-charter-public,Alameda
Apple Valley Unified,apple-valley-unified,Alameda
Aptitud Community Academy at Goss,aptitud-community-academy-at-goss,Los Angeles
Ararat Charter,ararat-charter,Los Angeles
Arcadia Unified,arcadia-unified,Yolo
Arcata Elementary,arcata-elementary,San Diego
"Architecture, Construction & Engineering Charter High (ACE)",architecture-construction-and-engineering-charter-high-ace,Glenn
Arcohe Union Elementary,arcohe-union-elementary,San Mateo
Arena Union Elementary,arena-union-elementary,Glenn
ARISE High,arise-high,Ventura
Armona Union Elementary,armona-union-elementary,Tulare
Aromas/San Juan Unified,aromas-san-juan-unified,Kings
Arroyo Paseo Charter High,arroyo-paseo-charter-high,Sacramento
Arroyo Vista Charter,arroyo-vista-charter,Humboldt
Arts in Action Community Charter,arts-in-action-community-charter,San Joaquin
Arundel Elementary,arundel-elementary,Los Angeles
Arvin Union,arvin-union,Los Angeles
ASA Charter,asa-charter,Riverside
ASCEND,ascend,Alameda
Aspire Alexander Twilight College Preparatory Academy,aspire-alexander-twilight-college-preparatory-academy,Sacramento
Aspire Alexander Twilight Secondary Academy,aspire-alexander-twilight-secondary-academy,Los Angeles
Aspire Antonio Maria Lugo Academy,aspire-antonio-maria-lugo-academy,Siskiyou
Aspire APEX Academy,aspire-apex-academy,Los Angeles
Aspire Benjamin Holt College Preparatory Academy,aspire-benjamin-holt-college-preparatory-academy,San Bernardino
Aspire Berkley Maynard Academy,aspire-berkley-maynard-academy,Los Angeles
Aspire California College Preparatory Academy,aspire-california-college-preparatory-academy,San Diego
Aspire Capitol Heights Academy,aspire-capitol-heights-academy,Los Angeles
Aspire Centennial College Preparatory Academy,aspire-centennial-college-preparatory-academy,San Diego
Aspire College Academy,aspire-college-academy,San Diego
Aspire East Palo Alto Charter,aspire-east-palo-alto-charter,Los Angeles
Aspire ERES Academy,aspire-eres-academy,Santa Clara
Aspire Firestone Academy,aspire-firestone-academy,San Bernardino
Aspire Gateway Academy,aspire-gateway-academy,Santa Barbara
Aspire Golden State College Preparatory Academy,aspire-golden-state-college-preparatory-academy,Ventura
Aspire Huntington Park Charter,aspire-huntington-park-charter,Los Angeles
Aspire Inskeep Academy Charter,aspire-inskeep-academy-charter,Los Angeles
Aspire Juanita Tate Academy Charter,aspire-juanita-tate-academy-charter,San Bernardino
Aspire Junior Collegiate Academy,aspire-junior-collegiate-academy,Sacramento
Aspire Langston Hughes Academy,aspire-langston-hughes-academy,Tehama
Aspire Lionel Wilson College Preparatory Academy,aspire-lionel-wilson-college-preparatory-academy,Los Angeles
Aspire Monarch Academy,aspire-monarch-academy,San Mateo
Aspire Ollin University Preparatory Academy,aspire-ollin-university-preparatory-academy,Los Angeles
Aspire Pacific Academy,aspire-pacific-academy,Sonoma
Aspire Port City Academy,aspire-port-city-academy,Los Angeles
Aspire River Oaks Charter,aspire-river-oaks-charter,Siskiyou
Aspire Rosa Parks Academy,aspire-rosa-parks-academy,Sonoma
Aspire Slauson Academy Charter,aspire-slauson-academy-charter,Humboldt
Aspire Summit Charter Academy,aspire-summit-charter-academy,San Mateo
Aspire Technology Charter AcademAspire Triumph Technology Academy,aspire-technology-charter-academaspire-triumph-technology-academy,San Joaquin
Aspire Titan Academy,aspire-titan-academy,Los Angeles
Aspire University Charter,aspire-university-charter,Kern
Aspire Vanguard College Preparatory Academy,aspire-vanguard-college-preparatory-academy,Sacramento
Aspire Vincent Shalvey Academy,aspire-vincent-shalvey-academy,Contra Costa
Assurance Learning Academy,assurance-learning-academy,Los Angeles
Atascadero Unified,atascadero-unified,Kern
Atwater Elementary,atwater-elementary,San Mateo
Auburn Union Elementary,auburn-union-elementary,Placer
Audeo Charter,audeo-charter,Madera
Aveson Global Leadership Academy,aveson-global-leadership-academy,El Dorado
Aveson School of Leaders,aveson-school-of-leaders,San Joaquin
Azusa Unified,azusa-unified,Placer
Baker Valley Unified,baker-valley-unified,Stanislaus
Bakersfield City Elementary,bakersfield-city-elementary,San Bernardino
Baldwin Park Unified,baldwin-park-unified,Los Angeles
Ballard Elementary,ballard-elementary,Los Angeles
Ballico-Cressey Elementary,ballico-cressey-elementary,Shasta
Ballington Academy for the Arts and Sciences,ballington-academy-for-the-arts-and-sciences,Santa Barbara
Bangor Union Elementary,bangor-union-elementary,Imperial
Banning Unified,banning-unified,Orange
Banta Elementary,banta-elementary,Kings
Barack Obama Charter,barack-obama-charter,Los Angeles
Barona Indian Charter,barona-indian-charter,Los Angeles
Barstow Unified,barstow-unified,Kings
Bass Lake Joint Union Elementary,bass-lake-joint-union-elementary,Sacramento
Bassett Unified,bassett-unified,Ventura
Bay Area School of Enterprise,bay-area-school-of-enterprise,Butte
Bay Area Technology,bay-area-technology,Alameda
Bay View Academy,bay-view-academy,Santa Clara
Bayshore Elementary,bayshore-elementary,Los Angeles
Bayshore Preparatory Charter,bayshore-preparatory-charter,Placer
Beacon Classical Academy Elementary,beacon-classical-academy-elementary,San Diego
Bear Valley Unified,bear-valley-unified,Stanislaus
Beardsley Elementary,beardsley-elementary,Orange
Beaumont Unified,beaumont-unified,Alameda
Beckford Charter for Enriched Studies,beckford-charter-for-enriched-studies,San Joaquin
Bella Mente Montessori Academy,bella-mente-montessori-academy,Yolo
Bella Vista Elementary,bella-vista-elementary,Los Angeles
Belleview Elementary,belleview-elementary,Los Angeles
Bellevue Union Elementary,bellevue-union-elementary,Imperial
Bellevue-Santa Fe Charter,bellevue-santa-fe-charter,San Diego
Bellflower Unified,bellflower-unified,Los Angeles
Belmont-Redwood Shores Elementary,belmont-redwood-shores-elementary,Santa Clara
Belridge Elementary,belridge-elementary,Butte
Benicia Unified,benicia-unified,Stanislaus
Bennett Valley Union Elementary,bennett-valley-union-elementary,Riverside
Berkeley Unified,berkeley-unified,Kern
Berryessa Union Elementary,berryessa-union-elementary,Contra Costa
Bert Corona Charter,bert-corona-charter,Humboldt
Beverly Hills Unified,beverly-hills-unified,San Bernardino
Big Creek Elementary,big-creek-elementary,Humboldt
Big Lagoon Union Elementary,big-lagoon-union-elementary,Napa
Big Oak Flat-Groveland Unified,big-oak-flat-groveland-unified,San Joaquin
Big Picture High School - Fresno,big-picture-high-school-fresno,Monterey
Big Pine Unified,big-pine-unified,Santa Clara
Big Springs Union Elementary,big-springs-union-elementary,Sonoma
Big Sur Charter,big-sur-charter,Sonoma
Big Sur Unified,big-sur-unified,Marin
Big Valley Joint Unified,big-valley-joint-unified,Sacramento
Biggs Unified,biggs-unified,San Diego
Binkley Elementary Charter,binkley-elementary-charter,San Joaquin
Birmingham Community Charter High,birmingham-community-charter-high,Calaveras
Bishop Unified,bishop-unified,Contra Costa
Bitney College Preparatory High,bitney-college-preparatory-high,Merced
Bitterwater-Tully Union Elemen,bitterwater-tully-union-elemen,Sonoma
Black Butte Union Elementary,black-butte-union-elementary,San Mateo
Black Oak Mine Unified,black-oak-mine-unified,San Diego
Blackford Elementary,blackford-elementary,San Diego
Blake Elementary,blake-elementary,Marin
Blochman Union Elementary,blochman-union-elementary,Tuolumne
Blue Lake Union Elementary,blue-lake-union-elementary,Los Angeles
Blue Oak Charter,blue-oak-charter,San Diego
Bogus Elementary,bogus-elementary,Stanislaus
Bolinas-Stinson Union Elementary,bolinas-stinson-union-elementary,Nevada
Bonita Unified,bonita-unified,Santa Clara
Bonny Doon Union Elementary,bonny-doon-union-elementary,Humboldt
Bonsall Unified,bonsall-unified,Los Angeles
Borrego Springs Unified,borrego-springs-unified,Tulare
Bowling Green Elementary,bowling-green-elementary,Kern
Bradley Union Elementary,bradley-union-elementary,San Diego
Brawley Elementary,brawley-elementary,Kern
Brawley Union High,brawley-union-high,Kern
Brea-Olinda Unified,brea-olinda-unified,Los Angeles
Brentwood Union Elementary,brentwood-union-elementary,Los Angeles
Bret Harte Union High,bret-harte-union-high,Orange
Bridges Academy,bridges-academy,Tulare
BRIDGES Charter,bridges-charter,Sacramento
Bridgeville Elementary,bridgeville-elementary,Humboldt
Briggs Elementary,briggs-elementary,Santa Clara
Bright Star Secondary Charter Academy,bright-star-secondary-charter-academy,Shasta
Brisbane Elementary,brisbane-elementary,Los Angeles
Brittan Acres Elementary,brittan-acres-elementary,Alameda
Brittan Elementary,brittan-elementary,Contra Costa
Browns Elementary,browns-elementary,San Diego
Buckeye Union Elementary,buckeye-union-elementary,Marin
Buellton Union Elementary,buellton-union-elementary,Sonoma
Buena Park Elementary,buena-park-elementary,San Benito
Buena Vista Elementary,buena-vista-elementary,Kern
Bullis Charter,bullis-charter,Placer
Burbank Unified,burbank-unified,Los Angeles
Burlingame Elementary,burlingame-elementary,Lake
Burnt Ranch Elementary,burnt-ranch-elementary,Tulare
Burrel Union Elementary,burrel-union-elementary,Sonoma
Burton Elementary,burton-elementary,San Diego
Burton Pathways Charter Academy,burton-pathways-charter-academy,Los Angeles
Butte Valley Unified,butte-valley-unified,Stanislaus
Butterfield Charter High,butterfield-charter-high,Fresno
Butteville Union Elementary,butteville-union-elementary,Sonoma
Buttonwillow Union Elementary,buttonwillow-union-elementary,San Francisco
Byron Union Elementary,byron-union-elementary,Inyo
Cabrillo Unified,cabrillo-unified,Riverside
Cajon Valley Union,cajon-valley-union,Stanislaus
Cal Stem San Joaquin,cal-stem-san-joaquin,Riverside
Calabash Charter Academy,calabash-charter-academy,Los Angeles
Calahan Community Charter,calahan-community-charter,Kern
Calaveras Unified,calaveras-unified,Kern
Calexico Unified,calexico-unified,Ventura
Cali Calmecac Language Academy,cali-calmecac-language-academy,San Bernardino
Caliber Beta Academy,caliber-beta-academy,San Francisco
Caliente Union Elementary,caliente-union-elementary,Nevada
California Connections Academy @ North Bay,california-connections-academy-north-bay,Los Angeles
California Connections Academy @ Ripon,california-connections-academy-ripon,Kern
California Heritage YouthBuild Academy,california-heritage-youthbuild-academy,Fresno
California Military Institute,california-military-institute,Kern
California Montessori Project - Capitol Campus,california-montessori-project-capitol-campus,Placer
California Montessori Project Elk Grove Campus,california-montessori-project-elk-grove-campus,Alameda
California Montessori Project-San Juan Campus,california-montessori-project-san-juan-campus,San Benito
California Montessori Project-Shingle Springs Campus,california-montessori-project-shingle-springs-campus,Los Angeles
California Virtual Academy @ Fresno,california-virtual-academy-fresno,Kern
California Virtual Academy @ Jamestown,california-virtual-academy-jamestown,Glenn
California Virtual Academy @ Kings,california-virtual-academy-kings,Los Angeles
California Virtual Academy @ Los Angeles,california-virtual-academy-los-angeles,Shasta
California Virtual Academy @ Maricopa,california-virtual-academy-maricopa,Riverside
California Virtual Academy @ San Diego,california-virtual-academy-san-diego,Contra Costa
California Virtual Academy @ San Joaquin,california-virtual-academy-san-joaquin,Butte
California Virtual Academy @ San Mateo,california-virtual-academy-san-mateo,San Diego
California Virtual Academy @ Sonoma,california-virtual-academy-sonoma,Stanislaus
California Virtual Academy @ Sutter,california-virtual-academy-sutter,San Diego
California Virtual Academy High @ Maricopa,california-virtual-academy-high-maricopa,Los Angeles
Calipatria Unified,calipatria-unified,Los Angeles
Calistoga Joint Unified,calistoga-joint-unified,Los Angeles
Calvert Charter For Enriched Studies,calvert-charter-for-enriched-studies,Sonoma
Camarillo Academy of Progressive Education,camarillo-academy-of-progressive-education,Alameda
Cambrian Elementary,cambrian-elementary,Los Angeles
Camino Nuevo Academy #2,camino-nuevo-academy-2,Los Angeles
Camino Nuevo Charter Academy,camino-nuevo-charter-academy,Alameda
Camino Nuevo Charter Academy No. 4,camino-nuevo-charter-academy-no-4,Los Angeles
Camino Nuevo Charter High,camino-nuevo-charter-high,Shasta
Camino Nuevo Elementary No. 3,camino-nuevo-elementary-no-3,Santa Clara
Camino Nuevo High No. 2,camino-nuevo-high-no-2,Tehama
Camino Science and Natural Resources Charter,camino-science-and-natural-resources-charter,Butte
Camino Union Elementary,camino-union-elementary,Imperial
Campbell Union,campbell-union,Los Angeles
Campbell Union High,campbell-union-high,Marin
Camptonville Academy,camptonville-academy,El Dorado
Camptonville Elementary,camptonville-elementary,Shasta
Canyon Elementary,canyon-elementary,Humboldt
Canyon Elementary,canyon-elementary,Los Angeles
Capay Joint Union Elementary,capay-joint-union-elementary,Shasta
Capistrano Connections Academy,capistrano-connections-academy,Sacramento
Capistrano Unified,capistrano-unified,Orange
Capitol Collegiate Academy,capitol-collegiate-academy,Los Angeles
Capri Elementary,capri-elementary,Siskiyou
Cardiff Elementary,cardiff-elementary,San Luis Obispo
Carlsbad Unified,carlsbad-unified,Sonoma
Carmel Unified,carmel-unified,Los Angeles
Carpenter Community Charter,carpenter-community-charter,San Diego
Carpinteria Unified,carpinteria-unified,Tehama
Carter G. Woodson Public Charter,carter-g-woodson-public-charter,Sonoma
Caruthers Unified,caruthers-unified,Sonoma
"Casa Ramona Academy for Technology, Community, and Education",casa-ramona-academy-for-technology-community-and-education,Los Angeles
Cascade Union Elementary,cascade-union-elementary,Riverside
Castaic Union,castaic-union,Shasta
Castle Rock,castle-rock,Alameda
Castle Rock Union Elementary,castle-rock-union-elementary,Fresno
Castlebay Lane Charter,castlebay-lane-charter,Stanislaus
Castlemont Elementary,castlemont-elementary,Los Angeles
Castro Valley Unified,castro-valley-unified,Santa Clara
Cayucos Elementary,cayucos-elementary,Shasta
Cecil Avenue Math and Science Academy,cecil-avenue-math-and-science-academy,Los Angeles
Ceiba College Preparatory Academy,ceiba-college-preparatory-academy,Los Angeles
Celerity Cardinal Charter,celerity-cardinal-charter,Los Angeles
Celerity Dyad Charter,celerity-dyad-charter,Los Angeles
Celerity Exa Charter,celerity-exa-charter,Monterey
Celerity Nascent Charter,celerity-nascent-charter,Alameda
Celerity Octavia Charter,celerity-octavia-charter,Los Angeles
Celerity Palmati Charter,celerity-palmati-charter,Trinity
Celerity Sirius Charter,celerity-sirius-charter,Tuolumne
Celerity Troika Charter,celerity-troika-charter,Humboldt
Center for Advanced Learning,center-for-advanced-learning,Placer
Center For Learning and Educational Success,center-for-learning-and-educational-success,San Francisco
Center Joint Unified,center-joint-unified,Los Angeles
Centinela Valley Union High,centinela-valley-union-high,Los Angeles
Central California Connections Academy,central-california-connections-academy,Orange
Central City Value,central-city-value,Alameda
Central Elementary,central-elementary,Los Angeles
Central Unified,central-unified,Santa Clara
Central Union Elementary,central-union-elementary,Stanislaus
Central Union High,central-union-high,Santa Barbara
Centralia Elementary,centralia-elementary,Sonoma
Century Academy for Excellence,century-academy-for-excellence,Los Angeles
Century Community Charter,century-community-charter,Alameda
Ceres Unified,ceres-unified,San Bernardino
Cesar Chavez Language Academy,cesar-chavez-language-academy,Humboldt
Chaffey Joint Union High,chaffey-joint-union-high,San Bernardino
CHAMPS - Charter HS of Arts-Multimedia & Performing,champs-charter-hs-of-arts-multimedia-and-performing,Sacramento
Chandler Learning Academy,chandler-learning-academy,Santa Clara
Charter Alternative Program (CAP),charter-alternative-program-cap,Shasta
Charter Alternatives Academy,charter-alternatives-academy,Tulare
Charter Community School Home Study Academy,charter-community-school-home-study-academy,Placer
Charter Home School Academy,charter-home-school-academy,San Diego
Charter Montessori Blue Oak Campus,charter-montessori-blue-oak-campus,Tulare
Charter Oak Unified,charter-oak-unified,Imperial
Charter School of Morgan Hill,charter-school-of-morgan-hill,Santa Clara
Charter School of San Diego,charter-school-of-san-diego,Santa Cruz
Chatom Union,chatom-union,Los Angeles
Chatsworth Charter High,chatsworth-charter-high,Los Angeles
Chawanakee Unified,chawanakee-unified,Los Angeles
Chicago Park Community Charter,chicago-park-community-charter,Sonoma
Chicago Park Elementary,chicago-park-elementary,Santa Cruz
Chico Country Day,chico-country-day,Santa Barbara
Chico Unified,chico-unified,Alameda
Children of Promise Preparatory Academy,children-of-promise-preparatory-academy,San Bernardino
Children's Community Charter,childrens-community-charter,San Bernardino
CHIME Institute's Schwarzenegger Community,chime-institutes-schwarzenegger-community,Santa Barbara
Chino Valley Unified,chino-valley-unified,San Joaquin
Chowchilla Elementary,chowchilla-elementary,Butte
Chowchilla Union High,chowchilla-union-high,Tehama
Chrysalis Charter,chrysalis-charter,Lassen
Chualar Union,chualar-union,Los Angeles
Chula Vista Elementary,chula-vista-elementary,San Bernardino
Chula Vista Learning Community Charter,chula-vista-learning-community-charter,Los Angeles
Cielo Vista Charter,cielo-vista-charter,San Diego
Cienega Union Elementary,cienega-union-elementary,San Benito
Cinnabar Charter,cinnabar-charter,Placer
Cinnabar Elementary,cinnabar-elementary,Sacramento
Circle of Independent Learning,circle-of-independent-learning,Los Angeles
Citizens of the World 2,citizens-of-the-world-2,Los Angeles
Citizens of the World 3,citizens-of-the-world-3,Los Angeles
Citizens of the World Charter,citizens-of-the-world-charter,San Mateo
Citrus South Tule Elementary,citrus-south-tule-elementary,Los Angeles
City Arts and Tech High,city-arts-and-tech-high,San Diego
City Charter Elementary,city-charter-elementary,Humboldt
City Charter Middle,city-charter-middle,Los Angeles
City Heights Preparatory Charter,city-heights-preparatory-charter,Marin
Civicorps Corpsmember Academy,civicorps-corpsmember-academy,Inyo
Claremont Unified,claremont-unified,Orange
Classical Academy,classical-academy,Marin
Classical Academy High,classical-academy-high,Napa
Clay Joint Elementary,clay-joint-elementary,Sonoma
Clayton Valley Charter High,clayton-valley-charter-high,San Diego
Clear Creek Elementary,clear-creek-elementary,San Bernardino
Clemente Charter,clemente-charter,Los Angeles
Cloverdale Unified,cloverdale-unified,Lake
Clovis Online Charter,clovis-online-charter,Los Angeles
Clovis Unified,clovis-unified,Riverside
Coachella Valley Unified,coachella-valley-unified,Los Angeles
Coalinga/Huron Joint Unified,coalinga-huron-joint-unified,Santa Clara
Coast Unified,coast-unified,Calaveras
Coastal Academy,coastal-academy,Butte
Coastal Grove Charter,coastal-grove-charter,Monterey
Coffee Creek Elementary,coffee-creek-elementary,Fresno
Cold Spring Elementary,cold-spring-elementary,Modoc
Coleman Tech Charter High,coleman-tech-charter-high,Fresno
Colfax Charter Elementary,colfax-charter-elementary,Los Angeles
Colfax Elementary,colfax-elementary,Los Angeles
College Bridge Academy,college-bridge-academy,San Diego
College Elementary,college-elementary,Los Angeles
College Prep High,college-prep-high,Los Angeles
College Preparatory Middle,college-preparatory-middle,El Dorado
Colton Joint Unified,colton-joint-unified,Los Angeles
Columbia Elementary,columbia-elementary,Los Angeles
Columbia Union,columbia-union,San Bernardino
Columbine Elementary,columbine-elementary,Mendocino
Colusa Unified,colusa-unified,San Diego
Come Back Kids,come-back-kids,San Diego
Community Collaborative Charter,community-collaborative-charter,Riverside
Community Magnet Charter Elementary,community-magnet-charter-elementary,Los Angeles
Community Montessori Charter,community-montessori-charter,Los Angeles
Community Outreach Academy,community-outreach-academy,Humboldt
Community Preparatory Academy,community-preparatory-academy,Madera
Community Roots Academy,community-roots-academy,San Joaquin
